0.0,6.0,C,1,M,0
6.0,9.0,C,5,D7,0
9.0,15.0,C,1,M,0
15.0,21.0,C,5,D7,0
21.0,27.0,C,4,M,0
27.0,30.0,C,5/3,M,0
30.0,32.0,C,1,M,0
32.0,33.0,C,7/5,d,1
33.0,35.0,C,5,M,1
35.0,36.0,C,5/5,M,1
36.0,54.0,C,5,M,0
54.0,57.0,C,5/5,D7,0
57.0,60.0,C,5,M,0
60.0,63.0,c,5,M,0
63.0,64.0,c,5,D7,0
64.0,65.0,c,1,M,0
65.0,66.0,c,7/5,d7,2
66.0,69.0,c,5,M,0
69.0,70.0,c,5,D7,0
70.0,71.0,c,1,M,0
71.0,72.0,c,7/5,d7,2
72.0,75.0,c,5,M,0
75.0,76.0,c,5,D7,0
76.0,77.0,c,1,M,0
77.0,78.0,c,7/5,d7,2
78.0,80.0,c,5,M,0
80.0,81.0,c,7/5,d7,2
81.0,84.0,c,5,M,0
84.0,90.0,C,1,M,0
90.0,93.0,C,5,M,0
93.0,99.0,C,1,M,0
99.0,105.0,C,5,D7,0
105.0,111.0,C,4,M,0
111.0,114.0,C,1,M,1
114.0,117.0,C,5/4,M,0
117.0,119.0,C,4,M,0
119.0,120.0,C,7,d,0
120.0,122.0,C,1,M,1
122.0,123.0,C,5,D7,1
123.0,137.0,C,1,M,0
137.0,138.0,C,6,m,0
138.0,140.0,C,2,m,1
140.0,141.0,C,5,M,0
141.0,150.0,C,1,M,0
150.0,153.0,C,5,D7,0
153.0,157.0,C,1,M,0
157.0,158.0,C,5,M,1
158.0,159.0,C,1,M,0
159.0,162.0,C,4,M,0
162.0,165.0,C,5,D7,0
165.0,168.0,C,1,M,0
168.0,171.0,C,1,m,0
171.0,174.0,C,4,m,1
174.0,177.0,C,7,M,0
177.0,180.0,C,3,D7,1
180.0,183.0,C,6,M,0
183.0,186.0,C,2,d7,1
186.0,189.0,C,5,D7,0
189.0,192.0,C,1,m,1
192.0,193.0,C,4,m,1
193.0,194.0,C,5,M,0
194.0,195.0,C,7/5,d,0
195.0,198.0,C,5,M,0
198.0,200.0,C,1,m,0
200.0,201.0,C,7/5,d,0
201.0,204.0,C,5,M,0
204.0,207.0,C,4/4,m,0
207.0,210.0,C,6/4,M,0
210.0,213.0,C,5/4,D7,0
213.0,214.0,C,4,m,1
214.0,215.0,C,7/4,d,0
215.0,216.0,C,4,m,0
216.0,219.0,C,4/5,m,0
219.0,222.0,C,6/5,m,0
222.0,225.0,C,5/5,M,0
225.0,226.0,C,5,M,1
226.0,227.0,C,7/5,m,0
227.0,230.0,C,5,M,0
230.0,233.0,C,3,M,1
233.0,236.0,C,5,D7,0
236.0,239.0,C,1,m,2
239.0,242.0,C,5,M,0
242.0,245.0,C,1,m,2
245.0,248.0,C,5,M,0
248.0,249.0,C,7/5,d,1
249.0,258.0,C,5,M,0
