0.0,0.5,b,1,m,0
0.5,1.5,b,1,m,2
1.5,2.0,b,4,m,0
2.0,3.0,b,1,m,0
3.0,3.5,b,5,M,0
3.5,4.0,b,1,m,2
4.0,4.5,b,5,D7,0
4.5,6.5,b,1,m,0
6.5,7.5,b,1,m,2
7.5,8.0,b,4,m,0
8.0,9.0,b,1,m,0
9.0,9.5,b,5,M,0
9.5,10.0,b,1,m,2
10.0,10.5,b,5,D7,0
10.5,12.0,b,1,m,0
12.0,13.5,b,3,a,1
13.5,15.5,b,6,M,0
15.5,16.5,D,5,D7,0
16.5,18.0,D,1,M,0
18.0,19.0,b,1,m,2
19.0,19.5,b,5,D7,0
19.5,21.0,b,1,m,0
21.0,22.0,b,1,m,2
22.0,22.5,b,5,D7,0
22.5,24.5,b,1,m,0
24.5,25.5,b,1,m,2
25.5,26.0,b,4,m,0
26.0,27.0,b,1,m,0
27.0,27.5,b,5,M,0
27.5,28.0,b,1,m,2
28.0,28.5,b,5,D7,0
28.5,30.0,b,1,m,0
30.0,31.5,b,3,a,1
31.5,33.5,b,6,M,0
33.5,34.5,D,5,D7,0
34.5,36.0,D,1,M,0
36.0,37.0,b,1,m,2
37.0,37.5,b,5,D7,0
37.5,39.0,b,1,m,0
39.0,40.0,b,1,m,2
40.0,40.5,b,5,D7,0
40.5,42.0,b,1,m,0
42.0,43.5,e,5,D7,0
43.5,45.5,e,1,m,2
45.5,46.0,e,7/5,d7,1
46.0,46.5,e,5/5,M,2
46.5,47.5,e,5,M,0
47.5,48.0,C,5,D7,0
48.0,49.0,C,1,M,2
49.0,49.5,C,5,D7,0
49.5,50.5,C,1,M,0
50.5,51.0,C,1,M,1
51.0,52.0,b,1,m,2
52.0,52.5,b,5,D7,0
52.5,53.5,b,1,m,0
53.5,54.0,C,5,D7,0
54.0,55.0,C,1,M,2
55.0,55.5,C,5,D7,0
55.5,56.5,C,1,M,0
56.5,57.0,C,1,M,1
57.0,58.0,b,1,m,2
58.0,58.5,b,5,D7,0
58.5,60.0,b,1,m,0
60.0,60.5,b,4,m,0
60.5,61.5,b,1,m,0
61.5,62.0,b,5,M,0
62.0,62.5,b,1,m,2
62.5,63.0,b,5,D7,0
63.0,64.5,b,1,m,0
