0.0,9.0,E,1,M,0
9.0,12.0,E,6,m,2
12.0,16.5,E,2,m,0
16.5,18.0,E,7/2,d,1
18.0,24.0,E,2,m,1
24.0,30.0,E,5/6,M,0
30.0,31.5,E,6,m,0
31.5,33.0,E,6,m,2
33.0,36.0,E,+4,Fr+6,2
36.0,39.0,E,5,D7,0
39.0,40.5,E,2,m,2
40.5,42.0,E,5,M,1
42.0,45.0,E,6,m,0
45.0,48.0,E,+4,Fr+6,2
48.0,51.0,E,5,D7,0
51.0,54.0,A,5,M,0
54.0,55.5,A,1,M,2
55.5,56.5,A,5,a,0
56.5,61.5,A,1,M,2
61.5,63.0,A,5,M,0
63.0,64.5,A,7/5,d,1
64.5,66.0,A,5,M,1
66.0,67.5,A,1,M,2
67.5,68.5,A,5,a,1
68.5,69.0,A,1,M,0
69.0,70.5,A,1,M,2
70.5,72.0,A,1,M,0
72.0,76.5,A,5,M,1
76.5,78.0,b,4,m,1
78.0,82.5,b,5,D7,0
82.5,84.0,b,2,d,2
84.0,85.5,b,5,M,0
85.5,87.0,b,2,d,0
87.0,90.0,b,5,D7,0
90.0,94.5,E,5,M,0
94.5,96.0,E,2,h7,2
96.0,97.5,E,5,D7,0
97.5,99.0,E,5,D7,3
99.0,100.5,E,1,M,1
100.5,102.0,E,5,D7,2
102.0,104.0,E,1,M,0
104.0,106.0,E,2,m7,0
106.0,108.0,E,1,M,1
108.0,109.0,E,4,M,0
109.0,110.0,E,7/5,d7,0
110.0,114.0,E,5,M,0
114.0,122.0,E,5/5,D7,0
122.0,126.0,E,5,D7,3
126.0,132.0,E,1,M,1
132.0,133.0,E,4,M,0
133.0,134.0,E,7/5,h7,0
134.0,135.0,E,1,M,2
135.0,136.0,E,1,a,2
136.0,137.0,E,6,m,0
137.0,138.0,E,7/5,h7,0
138.0,144.0,E,1,M,2
144.0,146.0,E,5,M,0
146.0,154.0,E,1,M,0
154.0,158.0,E,7/5,d7,0
158.0,162.0,E,5,D7,0
162.0,165.0,E,1,M,0
165.0,168.0,E,6,m,2
168.0,172.5,E,2,m,0
172.5,174.0,E,7/2,d,1
174.0,180.0,E,2,m,1
180.0,186.0,E,5/6,M,0
186.0,187.5,E,6,m,0
187.5,189.0,E,6,m,2
189.0,192.0,E,+4,Fr+6,2
192.0,195.0,E,5,D7,0
195.0,196.5,E,2,m,2
196.5,198.0,E,5,M,1
198.0,201.0,E,6,m,0
201.0,204.0,E,+4,Fr+6,2
204.0,207.0,E,5,D7,0
207.0,210.0,A,5,M,0
210.0,211.5,A,1,M,2
211.5,212.5,A,5,a,0
212.5,217.5,A,1,M,2
217.5,219.0,A,5,M,0
219.0,220.5,A,7/5,d,1
220.5,222.0,A,5,M,1
222.0,223.5,A,1,M,2
223.5,224.5,A,5,a,1
224.5,225.0,A,1,M,0
225.0,226.5,A,1,M,2
226.5,228.0,A,1,M,0
228.0,232.5,A,5,M,1
232.5,234.0,b,4,m,1
234.0,238.5,b,5,D7,0
238.5,240.0,b,2,d,2
240.0,241.5,b,5,M,0
241.5,243.0,b,2,d,0
243.0,246.0,b,5,D7,0
246.0,250.5,E,5,M,0
250.5,252.0,E,2,h7,2
252.0,253.5,E,5,D7,0
253.5,255.0,E,5,D7,3
255.0,256.5,E,1,M,1
256.5,258.0,E,5,D7,2
258.0,261.0,E,1,M,0
261.0,262.5,E,4,M,1
262.5,264.0,E,1,M,2
264.0,270.0,E,7/5,d7,0
270.0,276.0,E,5,D7,0
276.0,282.0,E,1,M,0
282.0,288.0,E,6,m,0
288.0,294.0,E,5/6,M,0
294.0,297.0,E,6,m,0
297.0,300.0,E,5/5,D7,1
300.0,301.5,E,1,M,2
301.5,303.0,E,1,M,1
303.0,304.5,E,7/3,d7,0
304.5,306.0,E,7,d,1
306.0,307.5,E,1,M,0
307.5,309.0,E,7/2,d7,2
309.0,310.5,E,2,m,1
310.5,312.0,E,7/2,d7,0
312.0,315.0,E,2,m,0
315.0,318.0,E,5,M,0
318.0,348.0,E,1,M,0
